empresa,tipo_proyecto,region,numero_rca,año_rca,categoria_compromiso,frecuencia_reporte,responsable_area,dias_restantes,historial_incumplimientos,cantidad_documentos,presupuesto_asociado_usd,criticidad,cumplimiento_porcentaje,estado_avance,riesgo_incumplimiento
AES Andes,Subestacion,Coquimbo,RCA-1298,2023,Emisiones Atmosfericas,Trimestral,Construccion,87,2,38.0,68795.0,Media,61,En Proceso,Bajo
AES Andes,Central Hidroelectrica,Biobio,RCA-4238,2015,Reforestacion,Semestral,Operacion,190,3,3.0,83151.0,Media,63,En Proceso,Bajo
Enel,Linea de Transmision,Valparaiso,RCA-9837,2015,Flora y Fauna,Anual,Construccion,353,1,38.0,77929.0,Media,100,Completado,Bajo
Colbun,Parque Solar,Coquimbo,RCA-7382,2022,Emisiones Atmosfericas,Mensual,Construccion,143,0,30.0,96946.0,Alta,78,En Proceso,Medio
Colbun,Central Hidroelectrica,Metropolitana,RCA-3511,2016,Emisiones Atmosfericas,Trimestral,Medio Ambiente,59,0,22.0,75047.0,Media,36,Pendiente,Medio
Transelec,Parque Solar,Coquimbo,RCA-7596,2014,Flora y Fauna,Mensual,Operacion,23,2,20.0,93849.0,Alta,46,En Proceso,Medio
Enel,Central Hidroelectrica,Metropolitana,RCA-1783,2017,Reforestacion,Mensual,Territorio,352,1,20.0,110619.0,Baja,94,Completado,Bajo
Engie,Linea de Transmision,Los Lagos,RCA-5992,2016,Calidad de Aguas,Trimestral,Operacion,350,1,10.0,72949.0,Alta,85,Completado,Medio
Enel,Subestacion,Coquimbo,RCA-1370,2011,Arqueologia,Anual,Operacion,271,2,32.0,68414.0,Media,82,Completado,Bajo
Engie,Linea de Transmision,Metropolitana,RCA-1486,2024,Calidad de Aguas,Mensual,Construccion,146,0,4.0,89065.0,Media,93,Completado,Bajo
Transelec,Parque Eolico,Coquimbo,RCA-8378,2025,Ruido,Mensual,Construccion,320,2,29.0,23482.0,Baja,66,En Proceso,Bajo
CGE,Central Hidroelectrica,Los Lagos,RCA-4196,2010,Flora y Fauna,Mensual,Construccion,168,2,8.0,53147.0,Media,70,En Proceso,Bajo
Colbun,Linea de Transmision,Coquimbo,RCA-5287,2022,Residuos,Trimestral,Construccion,256,0,20.0,52271.0,Alta,67,En Proceso,Medio
Transelec,Parque Solar,Atacama,RCA-3261,2023,Reforestacion,Mensual,Territorio,236,3,7.0,88804.0,Baja,72,En Proceso,Bajo
Colbun,Linea de Transmision,Metropolitana,RCA-9572,2018,Flora y Fauna,Mensual,Permisos,301,1,1.0,78752.0,Media,91,Completado,Bajo
AES Andes,Parque Solar,Los Lagos,RCA-1238,2014,Ruido,Semestral,Medio Ambiente,64,2,25.0,106702.0,Media,70,En Proceso,Bajo
CGE,Subestacion,Metropolitana,RCA-7843,2021,Emisiones Atmosfericas,Mensual,Construccion,26,1,26.0,105203.0,Media,33,Pendiente,Alto
CGE,Central Hidroelectrica,Metropolitana,RCA-2105,2020,Residuos,Trimestral,Permisos,130,0,9.0,25972.0,Baja,77,En Proceso,Bajo
Transelec,Parque Solar,Antofagasta,RCA-2386,2014,Residuos,Semestral,Medio Ambiente,107,4,23.0,32835.0,Alta,74,En Proceso,Medio
CGE,Subestacion,Los Lagos,RCA-2667,2021,Calidad de Aguas,Mensual,Construccion,225,2,2.0,75966.0,Alta,83,Completado,Medio
Engie,Linea de Transmision,Coquimbo,RCA-3691,2025,Arqueologia,Trimestral,Permisos,114,2,26.0,36326.0,Alta,80,Completado,Medio
CGE,Linea de Transmision,Metropolitana,RCA-8756,2019,Calidad de Aguas,Trimestral,Operacion,62,1,14.0,25693.0,Alta,47,En Proceso,Medio
Colbun,Linea de Transmision,Biobio,RCA-2996,2013,Reforestacion,Trimestral,Medio Ambiente,69,0,31.0,56551.0,Media,43,En Proceso,Bajo
Colbun,Linea de Transmision,Antofagasta,RCA-2425,2011,Residuos,Trimestral,Territorio,62,2,26.0,22874.0,Baja,48,En Proceso,Bajo
Colbun,Central Hidroelectrica,Atacama,RCA-9023,2014,Residuos,Mensual,Medio Ambiente,162,0,19.0,49308.0,Baja,72,En Proceso,Bajo
Colbun,Parque Solar,Metropolitana,RCA-7849,2011,Arqueologia,Semestral,Permisos,80,1,38.0,92784.0,Media,45,En Proceso,Bajo
Engie,Parque Solar,Metropolitana,RCA-4247,2021,Reforestacion,Semestral,Territorio,23,1,5.0,62849.0,Alta,1,Pendiente,Alto
Enel,Linea de Transmision,Antofagasta,RCA-3592,2016,Flora y Fauna,Mensual,Operacion,194,2,6.0,112443.0,Alta,93,Completado,Medio
AES Andes,Central Hidroelectrica,Coquimbo,RCA-2490,2020,Arqueologia,Mensual,Construccion,254,1,35.0,60796.0,Alta,85,Completado,Medio
Transelec,Parque Eolico,Biobio,RCA-2224,2018,Emisiones Atmosfericas,Mensual,Medio Ambiente,364,0,16.0,88827.0,Media,81,Completado,Bajo
Colbun,Linea de Transmision,Atacama,RCA-3587,2018,Calidad de Aguas,Mensual,Territorio,83,1,31.0,61763.0,Alta,49,En Proceso,Medio
CGE,Parque Eolico,Metropolitana,RCA-8714,2020,Flora y Fauna,Trimestral,Medio Ambiente,88,3,18.0,69598.0,Alta,58,En Proceso,Medio
Colbun,Parque Solar,Coquimbo,RCA-4064,2015,Calidad de Aguas,Mensual,Operacion,176,0,14.0,65193.0,Media,77,En Proceso,Bajo
CGE,Linea de Transmision,Los Lagos,RCA-8804,2010,Arqueologia,Mensual,Medio Ambiente,216,1,25.0,88904.0,Baja,88,Completado,Bajo
AES Andes,Subestacion,Biobio,RCA-1832,2025,Flora y Fauna,Semestral,Territorio,153,1,15.0,93111.0,Alta,86,Completado,Medio
AES Andes,Subestacion,Los Lagos,RCA-3440,2022,Arqueologia,Mensual,Permisos,14,0,26.0,126537.0,Baja,34,Pendiente,Alto
AES Andes,Linea de Transmision,Biobio,RCA-5795,2015,Emisiones Atmosfericas,Semestral,Territorio,34,2,36.0,75371.0,Media,58,En Proceso,Bajo
CGE,Central Hidroelectrica,Atacama,RCA-2646,2014,Ruido,Semestral,Medio Ambiente,284,1,20.0,88696.0,Media,65,En Proceso,Bajo
Colbun,Parque Eolico,Valparaiso,RCA-1440,2013,Residuos,Mensual,Operacion,59,1,37.0,49330.0,Media,66,En Proceso,Bajo
AES Andes,Parque Solar,Biobio,RCA-6956,2025,Reforestacion,Semestral,Construccion,364,0,37.0,92191.0,Baja,84,Completado,Bajo
Engie,Subestacion,Valparaiso,RCA-3367,2021,Flora y Fauna,Semestral,Permisos,131,0,7.0,75630.0,Alta,80,Completado,Medio
CGE,Subestacion,Los Lagos,RCA-7696,2015,Residuos,Mensual,Operacion,184,2,18.0,8443.0,Baja,90,Completado,Bajo
CGE,Parque Solar,Biobio,RCA-6190,2015,Ruido,Mensual,Medio Ambiente,236,1,20.0,53280.0,Alta,99,Completado,Medio
Colbun,Parque Solar,Atacama,RCA-5663,2025,Flora y Fauna,Trimestral,Operacion,97,0,20.0,23157.0,Alta,75,En Proceso,Medio
CGE,Linea de Transmision,Antofagasta,RCA-8062,2025,Residuos,Anual,Medio Ambiente,12,1,26.0,56540.0,Media,13,Pendiente,Alto
CGE,Parque Solar,Atacama,RCA-5331,2023,Residuos,Trimestral,Territorio,251,1,23.0,82664.0,Baja,65,En Proceso,Bajo
AES Andes,Parque Eolico,Atacama,RCA-4034,2015,Flora y Fauna,Mensual,Permisos,335,0,32.0,67531.0,Alta,70,En Proceso,Medio
Colbun,Subestacion,Antofagasta,RCA-4262,2011,Residuos,Trimestral,Medio Ambiente,200,3,13.0,90401.0,Baja,86,Completado,Bajo
AES Andes,Linea de Transmision,Antofagasta,RCA-3107,2024,Residuos,Trimestral,Construccion,167,2,13.0,16313.0,Alta,97,Completado,Medio
AES Andes,Parque Eolico,Coquimbo,RCA-8036,2023,Flora y Fauna,Trimestral,Construccion,44,1,17.0,98957.0,Media,34,Pendiente,Medio
Colbun,Linea de Transmision,Biobio,RCA-5320,2025,Reforestacion,Semestral,Permisos,258,1,25.0,81139.0,Baja,74,En Proceso,Bajo
Transelec,Linea de Transmision,Los Lagos,RCA-6938,2016,Residuos,Trimestral,Medio Ambiente,89,0,22.0,43375.0,Baja,67,En Proceso,Bajo
AES Andes,Linea de Transmision,Coquimbo,RCA-3747,2023,Residuos,Semestral,Permisos,276,0,27.0,74376.0,Alta,75,En Proceso,Medio
Engie,Subestacion,Antofagasta,RCA-5677,2013,Reforestacion,Semestral,Territorio,82,1,17.0,129775.0,Baja,47,En Proceso,Bajo
Engie,Parque Eolico,Valparaiso,RCA-8972,2022,Calidad de Aguas,Trimestral,Permisos,217,2,26.0,111630.0,Alta,92,Completado,Medio
CGE,Parque Solar,Los Lagos,RCA-5264,2024,Emisiones Atmosfericas,Mensual,Territorio,308,1,38.0,116939.0,Alta,94,Completado,Medio
Engie,Linea de Transmision,Valparaiso,RCA-4133,2021,Calidad de Aguas,Semestral,Construccion,259,2,14.0,69677.0,Alta,83,Completado,Medio
CGE,Central Hidroelectrica,Atacama,RCA-2465,2018,Ruido,Anual,Territorio,95,0,14.0,103411.0,Media,94,Completado,Bajo
Transelec,Central Hidroelectrica,Metropolitana,RCA-5109,2025,Calidad de Aguas,Mensual,Medio Ambiente,197,0,20.0,107755.0,Alta,66,En Proceso,Medio
Colbun,Central Hidroelectrica,Atacama,RCA-3211,2019,Calidad de Aguas,Trimestral,Medio Ambiente,257,0,5.0,48902.0,Alta,73,En Proceso,Medio
Colbun,Linea de Transmision,Atacama,RCA-6539,2011,Ruido,Mensual,Medio Ambiente,282,2,37.0,107266.0,Media,89,Completado,Bajo
Colbun,Subestacion,Metropolitana,RCA-2689,2014,Residuos,Semestral,Medio Ambiente,147,2,4.0,101604.0,Alta,83,Completado,Medio
Engie,Central Hidroelectrica,Biobio,RCA-8727,2023,Residuos,Semestral,Operacion,248,0,29.0,58178.0,Baja,74,En Proceso,Bajo
Transelec,Parque Eolico,Antofagasta,RCA-8764,2013,Calidad de Aguas,Mensual,Territorio,216,0,25.0,77336.0,Alta,72,En Proceso,Medio
Engie,Linea de Transmision,Valparaiso,RCA-5541,2018,Ruido,Semestral,Medio Ambiente,199,2,4.0,108954.0,Baja,78,En Proceso,Bajo
Engie,Linea de Transmision,Atacama,RCA-4541,2013,Residuos,Mensual,Permisos,274,0,16.0,73550.0,Alta,88,Completado,Medio
Transelec,Subestacion,Metropolitana,RCA-1818,2017,Arqueologia,Semestral,Permisos,333,2,2.0,97085.0,Baja,81,Completado,Bajo
Transelec,Central Hidroelectrica,Coquimbo,RCA-5521,2017,Flora y Fauna,Trimestral,Operacion,23,0,23.0,63214.0,Media,1,Pendiente,Alto
Transelec,Parque Solar,Atacama,RCA-2124,2015,Flora y Fauna,Mensual,Territorio,44,2,4.0,47626.0,Alta,68,En Proceso,Medio
Transelec,Subestacion,Valparaiso,RCA-6660,2015,Emisiones Atmosfericas,Mensual,Territorio,102,1,20.0,45023.0,Media,72,En Proceso,Bajo
Colbun,Linea de Transmision,Antofagasta,RCA-6641,2025,Flora y Fauna,Mensual,Territorio,8,1,17.0,67968.0,Alta,35,Pendiente,Alto
Enel,Parque Solar,Atacama,RCA-2129,2020,Calidad de Aguas,Trimestral,Operacion,37,1,6.0,85957.0,Alta,67,En Proceso,Medio
Enel,Parque Eolico,Atacama,RCA-2702,2017,Flora y Fauna,Trimestral,Territorio,303,0,18.0,31069.0,Media,77,En Proceso,Bajo
Transelec,Subestacion,Biobio,RCA-3001,2021,Flora y Fauna,Mensual,Territorio,169,1,20.0,123156.0,Alta,74,En Proceso,Medio
Enel,Parque Eolico,Metropolitana,RCA-7912,2022,Arqueologia,Mensual,Medio Ambiente,31,1,39.0,101694.0,Alta,64,En Proceso,Medio
Enel,Central Hidroelectrica,Coquimbo,RCA-4878,2021,Residuos,Mensual,Territorio,177,1,34.0,87845.0,Baja,76,En Proceso,Bajo
Transelec,Linea de Transmision,Coquimbo,RCA-8232,2019,Arqueologia,Semestral,Medio Ambiente,341,1,24.0,95394.0,Media,72,En Proceso,Bajo
Enel,Parque Solar,Los Lagos,RCA-7331,2018,Calidad de Aguas,Semestral,Medio Ambiente,117,2,18.0,58807.0,Media,81,Completado,Bajo
Engie,Linea de Transmision,Antofagasta,RCA-7035,2024,Flora y Fauna,Mensual,Territorio,99,2,30.0,38103.0,Media,99,Completado,Bajo
CGE,Parque Eolico,Los Lagos,RCA-7523,2014,Reforestacion,Trimestral,Permisos,323,2,1.0,85246.0,Alta,80,Completado,Medio
CGE,Parque Solar,Valparaiso,RCA-9111,2020,Residuos,Mensual,Construccion,237,1,23.0,101103.0,Media,85,Completado,Bajo
Transelec,Parque Solar,Antofagasta,RCA-9736,2010,Emisiones Atmosfericas,Anual,Permisos,138,1,29.0,62655.0,Media,63,En Proceso,Bajo
Colbun,Parque Eolico,Atacama,RCA-3401,2010,Emisiones Atmosfericas,Anual,Territorio,128,1,32.0,51395.0,Alta,66,En Proceso,Medio
Transelec,Subestacion,Atacama,RCA-9974,2024,Flora y Fauna,Trimestral,Territorio,355,1,2.0,61450.0,Alta,69,En Proceso,Medio
Colbun,Central Hidroelectrica,Coquimbo,RCA-1539,2011,Flora y Fauna,Anual,Permisos,327,1,36.0,87028.0,Alta,74,En Proceso,Medio
CGE,Parque Solar,Valparaiso,RCA-6615,2019,Emisiones Atmosfericas,Semestral,Territorio,357,1,17.0,90048.0,Media,85,Completado,Bajo
Transelec,Linea de Transmision,Metropolitana,RCA-3956,2019,Emisiones Atmosfericas,Semestral,Medio Ambiente,120,0,2.0,120250.0,Alta,75,En Proceso,Medio
AES Andes,Parque Solar,Valparaiso,RCA-9077,2014,Reforestacion,Trimestral,Operacion,17,2,4.0,86158.0,Media,39,Pendiente,Alto
Engie,Parque Eolico,Atacama,RCA-4722,2013,Calidad de Aguas,Mensual,Territorio,324,0,34.0,54173.0,Alta,93,Completado,Medio
Enel,Subestacion,Metropolitana,RCA-6087,2010,Flora y Fauna,Mensual,Territorio,169,0,1.0,67565.0,Alta,76,En Proceso,Medio
Colbun,Central Hidroelectrica,Valparaiso,RCA-7460,2013,Emisiones Atmosfericas,Mensual,Permisos,212,2,23.0,48819.0,Alta,97,Completado,Medio
AES Andes,Central Hidroelectrica,Valparaiso,RCA-3170,2013,Reforestacion,Trimestral,Medio Ambiente,89,1,6.0,102671.0,Media,45,En Proceso,Bajo
Enel,Linea de Transmision,Metropolitana,RCA-4391,2019,Ruido,Mensual,Permisos,252,0,16.0,47120.0,Baja,93,Completado,Bajo
Enel,Central Hidroelectrica,Atacama,RCA-7942,2013,Emisiones Atmosfericas,Mensual,Permisos,60,3,2.0,60861.0,Alta,58,En Proceso,Medio
Transelec,Linea de Transmision,Valparaiso,RCA-2616,2010,Residuos,Trimestral,Territorio,176,1,12.0,87035.0,Baja,77,En Proceso,Bajo
Enel,Linea de Transmision,Metropolitana,RCA-7458,2018,Residuos,Mensual,Medio Ambiente,145,1,27.0,114882.0,Media,70,En Proceso,Bajo
Engie,Linea de Transmision,Biobio,RCA-3756,2023,Ruido,Trimestral,Territorio,136,3,19.0,146404.0,Baja,71,En Proceso,Bajo
AES Andes,Central Hidroelectrica,Biobio,RCA-7853,2012,Calidad de Aguas,Anual,Territorio,205,1,28.0,41490.0,Alta,96,Completado,Medio
Enel,Parque Solar,Atacama,RCA-8709,2022,Flora y Fauna,Semestral,Territorio,293,2,35.0,90939.0,Alta,61,En Proceso,Medio
Transelec,Linea de Transmision,Metropolitana,RCA-2936,2013,Flora y Fauna,Trimestral,Territorio,313,2,4.0,74424.0,Alta,77,En Proceso,Medio
Engie,Subestacion,Biobio,RCA-4091,2014,Emisiones Atmosfericas,Trimestral,Operacion,361,3,7.0,68767.0,Alta,97,Completado,Medio
CGE,Parque Solar,Metropolitana,RCA-1968,2022,Residuos,Trimestral,Construccion,349,0,37.0,67928.0,Media,92,Completado,Bajo
AES Andes,Linea de Transmision,Valparaiso,RCA-8297,2022,Calidad de Aguas,Mensual,Medio Ambiente,183,1,25.0,44133.0,Alta,68,En Proceso,Medio
Enel,Central Hidroelectrica,Atacama,RCA-4203,2016,Calidad de Aguas,Semestral,Operacion,33,2,17.0,116669.0,Media,44,En Proceso,Bajo
Transelec,Parque Eolico,Biobio,RCA-7499,2025,Calidad de Aguas,Mensual,Construccion,311,1,14.0,22976.0,Alta,87,Completado,Medio
CGE,Parque Solar,Los Lagos,RCA-6173,2015,Emisiones Atmosfericas,Mensual,Construccion,310,0,37.0,71309.0,Media,67,En Proceso,Bajo
CGE,Central Hidroelectrica,Valparaiso,RCA-1889,2014,Flora y Fauna,Semestral,Construccion,40,0,2.0,112434.0,Media,75,En Proceso,Bajo
Colbun,Subestacion,Los Lagos,RCA-9984,2017,Calidad de Aguas,Mensual,Operacion,113,5,24.0,80677.0,Media,95,Completado,Bajo
Engie,Central Hidroelectrica,Los Lagos,RCA-8382,2025,Emisiones Atmosfericas,Mensual,Medio Ambiente,320,2,15.0,58242.0,Media,98,Completado,Bajo
Enel,Parque Solar,Antofagasta,RCA-4531,2023,Emisiones Atmosfericas,Mensual,Permisos,150,1,33.0,59256.0,Alta,67,En Proceso,Medio
Transelec,Parque Solar,Antofagasta,RCA-1801,2010,Ruido,Mensual,Construccion,280,3,12.0,96982.0,Media,78,En Proceso,Bajo
Colbun,Linea de Transmision,Atacama,RCA-9234,2016,Arqueologia,Mensual,Permisos,150,0,19.0,67355.0,Media,63,En Proceso,Bajo
Engie,Central Hidroelectrica,Biobio,RCA-4349,2021,Calidad de Aguas,Mensual,Permisos,172,1,5.0,74198.0,Alta,86,Completado,Medio
Colbun,Subestacion,Biobio,RCA-9005,2015,Arqueologia,Trimestral,Territorio,261,1,1.0,90555.0,Media,72,En Proceso,Bajo
AES Andes,Linea de Transmision,Biobio,RCA-4201,2020,Flora y Fauna,Semestral,Permisos,279,1,9.0,98254.0,Alta,97,Completado,Medio
Engie,Linea de Transmision,Metropolitana,RCA-1349,2025,Emisiones Atmosfericas,Mensual,Territorio,91,0,39.0,61047.0,Media,80,Completado,Bajo
Engie,Parque Solar,Valparaiso,RCA-1583,2014,Reforestacion,Semestral,Medio Ambiente,158,1,34.0,40858.0,Media,85,Completado,Bajo
Enel,Parque Solar,Biobio,RCA-4377,2025,Calidad de Aguas,Mensual,Medio Ambiente,289,1,29.0,49928.0,Alta,82,Completado,Medio
Engie,Parque Eolico,Valparaiso,RCA-7028,2016,Reforestacion,Mensual,Territorio,319,2,2.0,109524.0,Media,89,Completado,Bajo
Colbun,Central Hidroelectrica,Atacama,RCA-8694,2012,Residuos,Mensual,Medio Ambiente,323,3,19.0,76711.0,Alta,90,Completado,Medio
Engie,Linea de Transmision,Los Lagos,RCA-7196,2010,Flora y Fauna,Trimestral,Construccion,102,3,28.0,43770.0,Alta,90,Completado,Medio
Enel,Parque Eolico,Biobio,RCA-8083,2018,Ruido,Trimestral,Permisos,215,3,35.0,51665.0,Media,75,En Proceso,Bajo
Enel,Linea de Transmision,Atacama,RCA-4401,2011,Ruido,Trimestral,Territorio,52,0,22.0,104112.0,Alta,71,En Proceso,Medio
AES Andes,Central Hidroelectrica,Biobio,RCA-4185,2022,Arqueologia,Semestral,Construccion,322,0,4.0,77170.0,Media,100,Completado,Bajo
Colbun,Parque Eolico,Antofagasta,RCA-6285,2019,Emisiones Atmosfericas,Trimestral,Permisos,278,1,8.0,33131.0,Media,66,En Proceso,Bajo
CGE,Parque Solar,Coquimbo,RCA-7772,2024,Arqueologia,Trimestral,Permisos,198,0,1.0,47446.0,Alta,76,En Proceso,Medio
CGE,Parque Eolico,Atacama,RCA-9490,2012,Residuos,Anual,Permisos,256,0,36.0,103821.0,Media,83,Completado,Bajo
Engie,Subestacion,Biobio,RCA-4347,2017,Residuos,Mensual,Territorio,287,1,7.0,60804.0,Baja,79,En Proceso,Bajo
AES Andes,Subestacion,Coquimbo,RCA-1788,2021,Ruido,Mensual,Permisos,266,3,25.0,127369.0,Baja,98,Completado,Bajo
Transelec,Parque Eolico,Atacama,RCA-5945,2019,Reforestacion,Semestral,Medio Ambiente,266,1,29.0,122886.0,Media,86,Completado,Bajo
Engie,Subestacion,Metropolitana,RCA-3889,2018,Calidad de Aguas,Trimestral,Permisos,35,0,1.0,112238.0,Media,31,Pendiente,Medio
AES Andes,Subestacion,Biobio,RCA-6273,2022,Ruido,Mensual,Operacion,109,2,18.0,87454.0,Baja,60,En Proceso,Bajo
Colbun,Subestacion,Metropolitana,RCA-4272,2025,Ruido,Mensual,Operacion,354,0,4.0,100826.0,Alta,93,Completado,Medio
Colbun,Parque Eolico,Antofagasta,RCA-6234,2012,Reforestacion,Trimestral,Permisos,316,2,20.0,73604.0,Baja,86,Completado,Bajo
Colbun,Subestacion,Biobio,RCA-7902,2015,Reforestacion,Trimestral,Permisos,173,2,8.0,74253.0,Alta,96,Completado,Medio
Colbun,Linea de Transmision,Los Lagos,RCA-8612,2016,Residuos,Mensual,Operacion,240,0,27.0,44997.0,Baja,65,En Proceso,Bajo
Colbun,Parque Eolico,Antofagasta,RCA-3492,2024,Reforestacion,Anual,Permisos,278,0,39.0,73885.0,Media,97,Completado,Bajo
AES Andes,Parque Eolico,Coquimbo,RCA-7745,2010,Arqueologia,Semestral,Construccion,347,1,35.0,43286.0,Baja,86,Completado,Bajo
AES Andes,Linea de Transmision,Atacama,RCA-5240,2023,Residuos,Trimestral,Operacion,234,2,25.0,75156.0,Baja,75,En Proceso,Bajo
Enel,Linea de Transmision,Valparaiso,RCA-3322,2016,Reforestacion,Trimestral,Territorio,27,0,14.0,44723.0,Baja,34,Pendiente,Alto
CGE,Linea de Transmision,Antofagasta,RCA-6298,2013,Emisiones Atmosfericas,Semestral,Operacion,168,1,31.0,53286.0,Alta,86,Completado,Medio
Colbun,Subestacion,Valparaiso,RCA-2861,2025,Residuos,Mensual,Medio Ambiente,285,2,5.0,11127.0,Baja,94,Completado,Bajo
Transelec,Subestacion,Valparaiso,RCA-7620,2014,Residuos,Mensual,Construccion,11,1,17.0,55433.0,Media,35,Pendiente,Alto
AES Andes,Parque Eolico,Atacama,RCA-5047,2017,Ruido,Trimestral,Territorio,214,1,10.0,57007.0,Media,97,Completado,Bajo
